metric,value,window,captured_on
total_viewers,2500000,May 19 - Jun 15,2026-06-15
total_viewers_change,1100000,May 19 - Jun 15,2026-06-15
total_viewers_change_pct,82.7,May 19 - Jun 15,2026-06-15
new_viewers,1000000,May 19 - Jun 15,2026-06-15
new_viewers_change,537000,May 19 - Jun 15,2026-06-15
new_viewers_change_pct,110.4,May 19 - Jun 15,2026-06-15
total_followers,201851,all time,2026-06-15
net_followers,5926,Jun 9 - Jun 15,2026-06-15
net_followers_change,3929,Jun 9 - Jun 15,2026-06-15
net_followers_change_pct,196.7,Jun 9 - Jun 15,2026-06-15
